,sigma_mi,evoid_ratio,psi,eta,eta/Mtheta,theta,Dp,K,G,iplas,e,q,p,sx,sy,sz,sxy,ea,eps_v,eps_1,eps_2,eps_3,phase,s1,s2,s3,Mtheta,xi_i,Mi
11,301.955291748047,0.920842707157135,0.0984094962477684,0.806451499462128,0.672042965888977,0.523598796878959,0.250202387571335,90007.4140625,67505.5625,0,0.446458169804381,300.000030517578,372.000040690104,272.000030517578,572.000061035156,272.000030517578,-1.71438746965471e-12,2.38981803219421,-3.56945534637461,0.0238981803219421,0.00589818692124008,0.00589818692124008,1,572.000061035156,272.000030517578,272.000030517578,1.199999911308283,4.444444444444445,1.0469184840148564
12,301.955291748047,0.92090255022049,0.0982427075505257,0.81256765127182,0.677139699459076,0.523598790168762,0.243993163108826,89668.03125,67251.0234375,0,0.446504938008364,299.999969482422,369.200032552083,269.20004272461,569.200012207031,269.20004272461,-1.69050369554243e-12,2.38877773516586,-3.5663374661090597,0.0238877773516586,0.00588779711078335,0.00588779711078335,1,569.200012207031,269.200042724609,269.200042724609,1.200000017604829,4.444444444444445,1.047178025839785
13,301.955291748047,0.920962631702424,0.098074421286583,0.818777203559876,0.682314336299897,0.523598796881084,0.237690106034279,89327.3671875,66995.5234375,0,0.446551845889634,299.999969482422,366.400044759115,266.400054931641,566.400024414063,266.400054931641,-1.80983807093009e-12,2.3877357223163997,-3.56321027402439,0.023877357223164,0.00587737488218091,0.00587737488218091,1,566.400024414063,266.400054931641,266.40005493164,1.1999999999999995,4.444444444444445,1.0474397891097593
14,301.955291748047,0.921022951602936,0.0979046076536179,0.825082421302796,0.687568664550781,0.523598790168762,0.231291057357402,88985.3984375,66739.046875,0,0.446598977818695,300.0,363.600036621094,263.600036621094,563.600036621094,263.600036621094,-1.73106793605413e-12,2.38668790789664,-3.5600681454203302,0.0238668790789664,0.00586690227576215,0.00586690227576215,1,563.600036621094,263.600038194135,263.600035048052,1.200000034675604,4.444444444444445,1.0477039739247334
15,301.955291748047,0.921083569526673,0.0977332592010498,0.831485509872437,0.692904591560364,0.523598790710041,0.224793761968613,88642.109375,66481.578125,0,0.446646246498858,300.0,360.800048828125,260.800048828125,560.800048828125,260.800048828125,-1.64070717688623e-12,2.38563951530031,-3.55691690007615,0.0238563951530031,0.00585639001667519,0.00585639001667519,1,560.800048828125,260.800051268447,260.800046387803,1.2000000000000002,4.444444444444445,1.047970485687256
16,301.955291748047,0.921144366264344,0.0975603312253952,0.837988734245301,0.698323965072632,0.523598790168762,0.21819594502449,88297.484375,66223.109375,0,0.446693713021456,300.000030517578,358.000040690104,258.000030517578,558.000061035156,258.000030517578,-1.7611919093116e-12,2.38458422727433,-3.5537524652363,0.0238458422727433,0.00584584126221622,0.00584584126221622,1,558.000061035156,258.000028737299,258.000032297858,1.1999999658584575,4.444444444444445,1.0482394549367355
17,301.955291748047,0.921205401420594,0.0973858162760735,0.844594478607178,0.703828752040863,0.523598790168762,0.211495220661163,87951.5078125,65963.6328125,0,0.446741375092805,300.000030517578,355.200052897135,255.200042724609,555.200073242188,255.200042724609,-1.69665066746648e-12,2.38352502021599,-3.5505749938130298,0.0238352502021599,0.00583525565142622,0.00583525565142622,1,555.200073242188,255.20004272461,255.200042724609,1.199999966125485,4.444444444444445,1.0485109228612746
18,301.955291748047,0.921266674995423,0.0972096771001816,0.85130524635315,0.709421038627624,0.523598796878959,0.204689162928726,87604.1640625,65703.125,0,0.446789251806561,299.999984741211,352.400034586589,252.400039672852,552.400024414063,252.400039672852,-1.60674649077788e-12,2.3824612633103497,-3.54738321289592,0.0238246126331035,0.00582461763225641,0.00582461763225641,1,552.400024414063,252.400040363111,252.400038982592,1.2000000000000017,4.444444444444445,1.0487849467330523
19,301.955291748047,0.921328186988831,0.0970318913459778,0.858123481273651,0.715102910995483,0.523598748542569,0.197775195809526,87255.4453125,65441.58203125,0,0.446837240564733,300.0,349.600036621094,249.600036621094,549.600036621094,249.600036621094,-1.61423957598026e-12,2.38139494522525,-3.5441839623511098,0.0238139494522525,0.00581395037938722,0.00581395037938722,1,549.600036621094,249.600038208209,249.600035033979,1.199999983329772,4.444444444444445,1.0490614877772892
20,301.955291748047,0.921389997005463,0.0968524292111397,0.865051805973053,0.720876514911652,0.523598795216042,0.190750777721405,86905.3203125,65178.98828125,0,0.446885511421438,300.0,346.800048828125,246.800048828125,546.800048828125,246.800048828125,-1.67550766380047e-12,2.38032243854157,-3.54096590523746,0.0238032243854157,0.00580322337205345,0.00580322337205345,1,546.800048828125,246.80005041524,246.80004724101,1.199999983463285,4.444444444444445,1.0493406512110208
21,301.955291748047,0.921451985836029,0.0966712608933449,0.87209290266037,0.726744115352631,0.523598787436623,0.183613166213036,86553.78125,64915.33203125,0,0.446933898568573,300.000015258789,344.00005086263,244.000045776367,544.000061035156,244.000045776367,-1.63393483776186e-12,2.3792477753462897,-3.53774009542846,0.0237924777534629,0.00579246271253295,0.00579246271253295,1,544.000061035156,244.000048525331,244.000043027403,1.1999999507904,4.444444444444445,1.049622440011878
22,301.955291748047,0.921514272689819,0.0964883640408516,0.879249572753907,0.732707977294922,0.523598790168762,0.176359593868256,86200.8046875,64650.60546875,0,0.446982538809913,300.000030517578,341.200052897136,241.20004272461,541.200073242188,241.20004272461,-1.65686798931086e-12,2.3781659382650098,-3.5344974126724598,0.0237816593826501,0.00578165793207211,0.00578165793207211,1,541.200073242188,241.200042916581,241.200042532638,1.2000000000000008,4.444444444444445,1.0499069892697872
23,301.955291748047,0.921576857566834,0.0963037014007569,0.886524677276612,0.738770604133606,0.523598790168762,0.168987200794523,85846.3828125,64384.78515625,0,0.447031374982501,299.999984741211,338.400034586589,238.400039672852,538.400024414063,238.400039672852,-1.55294104677935e-12,2.3770800865125,-3.5312416678332403,0.023770800865125,0.00577080799581262,0.00577080799581262,1,538.400024414063,238.400039672852,238.400039672852,1.1999999354553161,4.444444444444445,1.0501941857784431
24,301.955291748047,0.921639621257782,0.0961172506213189,0.893921196460724,0.74493432044983,0.523598790168762,0.161492988467216,85490.4843750001,64117.86328125,0,0.447080452288922,299.999984741211,335.60004679362,235.600051879883,535.600036621094,235.600051879883,-1.62862900890597e-12,2.3759890664788097,-3.5279698474052,0.0237598906647881,0.00575991174899469,0.00575991174899469,1,535.600036621094,235.600051879883,235.600051879883,1.2000000160026565,4.444444444444445,1.0504842908200642
25,301.955291748047,0.9217027425766,0.0959289744496346,0.901442170143128,0.751201808452606,0.523598790168762,0.153873905539513,85133.1015625,63849.828125,0,0.447129624565154,300.0,332.800048828125,232.800048828125,532.800048828125,232.800048828125,-1.43158644997897e-12,2.37489709279363,-3.52469169565638,0.0237489709279363,0.00574897355457155,0.00574897355457155,1,532.800048828125,232.800049724981,232.800047931269,1.200000000000001,4.444444444444445,1.050777150856125
26,301.955291748047,0.921766042709351,0.0957388430833817,0.909090757369995,0.757575631141663,0.523598790168762,0.146126791834145,84774.21875,63580.6640625,0,0.447179055388447,300.000015258789,330.00005086263,230.000045776367,530.000061035156,230.000045776367,-1.47078517697386e-12,2.37379805047825,-3.52139630743685,0.0237379805047825,0.00573799327967422,0.00573799327967422,1,530.000061035156,230.000047256181,230.000044296553,1.199999999999999,4.444444444444445,1.0510729107591832
27,301.955291748047,0.921829640865326,0.0955468192696572,0.916870296001435,0.764058589935303,0.523598796881084,0.138248340973468,84413.8046875,63310.3515625,0,0.44722870410184,300.000015258789,327.200063069662,227.200057983399,527.200073242188,227.200057983399,-1.54333484588747e-12,2.37269461901942,-3.51808639321064,0.0237269461901942,0.00572696067488012,0.00572696067488012,1,527.200073242188,227.20006072206,227.200055244737,1.1999999843978868,4.444444444444445,1.0513716007997396
28,301.955291748047,0.921893537044525,0.0953528806567192,0.924784064292908,0.770653367042542,0.523598790168762,0.13023516535759,84051.84375,63038.8828125,0,0.447278599888416,299.999969482422,324.400044759115,224.400054931641,524.400024414063,224.400054931641,-1.50340025129574e-12,2.37158657556333,-3.51476000743894,0.0237158657556333,0.00571587605998273,0.00571587605998273,1,524.400024414063,224.400054931641,224.400054931641,1.2000000309372005,4.444444444444445,1.0516733238694043
29,301.955291748047,0.921957731246949,0.0951569750905037,0.932835698127747,0.777363061904908,0.523598796878959,0.122083754186172,83688.3203125,62766.23828125,0,0.447328643948116,299.999984741211,321.60004679362,221.600051879883,521.600036621094,221.600051879883,-1.54789118863562e-12,2.37047378975534,-3.51142373679224,0.0237047378975534,0.00570475852000422,0.00570475852000422,1,521.600036621094,221.600051879883,221.600051879883,1.2000000306701701,4.444444444444445,1.05197806563506
30,301.955291748047,0.922022163867951,0.0949590876698494,0.941028714179993,0.784190595149994,0.523598790168762,0.113790474490541,83323.203125,62492.40625,0,0.447378962885358,300.0,318.800048828125,218.800048828125,518.800048828125,218.800048828125,-1.47993102281771e-12,2.36935561873901,-3.5080691409761404,0.0236935561873901,0.00569357351887062,0.00569357351887062,1,518.800048828125,218.800050440972,218.800047215278,1.2000000000000002,4.444444444444445,1.052285863624679
31,301.955291748047,0.922086894512177,0.0947591662406922,0.949366927146912,0.791139125823975,0.523598790168762,0.105351560104985,82956.4921875,62217.3671875,0,0.447429462347283,300.0,316.000061035156,216.000061035156,516.000061035156,216.000061035156,-1.50891666875209e-12,2.36823390738814,-3.50470251018111,0.0236823390738814,0.00568234695908933,0.00568234695908933,1,516.000061035156,216.000062648004,216.000059422309,1.199999969863887,4.444444444444445,1.0525968260801641
32,301.955291748047,0.922151923179627,0.0945571810007096,0.957854211330414,0.798211872577667,0.523598790168762,0.0967631045570013,82588.140625,61941.10546875,0,0.447480211380717,300.000015258789,313.200063069662,213.200057983398,513.200073242188,213.200057983398,-1.43472539263396e-12,2.36710645371467,-3.50131924128556,0.0236710645371467,0.00567106725618316,0.00567106725618316,1,513.200073242188,213.200059480608,213.200056486189,1.1999999551963738,4.444444444444445,1.052911012464813
33,301.955291748047,0.922217249870301,0.0943530872464181,0.966494679450989,0.805412232875824,0.523598790168762,0.0880210647175775,82218.1484375,61663.609375,0,0.447531173237098,300.0,310.400054931641,210.400054931641,510.400054931641,210.400054931641,-1.37112105483593e-12,2.36597488894714,-3.4979217841935,0.0236597488894714,0.00565973881937105,0.00565973881937105,1,510.400054931641,210.400057090138,210.400052773143,1.2000000000000002,4.444444444444445,1.0532285309500165
34,301.955291748047,0.922282814979554,0.0941468551754951,0.975292384624482,0.812743663787842,0.523598790709439,0.0791212701904652,81846.4765625,61384.85546875,0,0.447582409076446,300.000015258789,307.600056966146,207.600051879883,507.600067138672,207.600051879883,-1.45496457323624e-12,2.3648349382847,-3.4945060615702896,0.023648349382847,0.00564836598576678,0.00564836598576678,1,507.600067138672,207.600054618544,207.600049141222,1.1999999853324868,4.444444444444445,1.053549323516217
35,301.955291748047,0.922348737716675,0.0939384326338768,0.98425179719925,0.820209801197052,0.523598790168762,0.0700593590736389,81473.1093750001,61104.83203125,0,0.447633820798273,299.999984741211,304.800059000651,204.800064086914,504.800048828125,204.800064086914,-1.34709937683639e-12,2.3636916213528503,-3.4910786134484497,0.0236369162135285,0.00563693782618652,0.00563693782618652,1,504.800048828125,204.800064100988,204.800064072841,1.200000043602,4.444444444444445,1.053873587528687
36,301.955291748047,0.922414958477021,0.0937277898192406,0.993377268314362,0.827814400196076,0.523598790168762,0.0608308465735675,81098.03125,60823.51953125,0,0.447685488885788,300.0,302.000061035156,202.000061035156,502.000061035156,202.000061035156,-1.35849955962814e-12,2.36254419842368,-3.48763407428083,0.0236254419842368,0.00562545178212194,0.00562545178212194,1,502.000061035156,202.000061917939,202.000060152374,1.1999999855995147,4.444444444444445,1.0542012031858958
37,301.955291748047,0.92248147726059,0.0935148745775223,1.00267362594605,0.835561335086823,0.523598790168762,0.0514310523864175,80721.203125,60540.90234375,0,0.447737402938226,300.000015258789,299.200063069662,199.200057983398,499.200073242188,199.200057983398,-1.38141866972659e-12,2.36138997138413,-3.4841731374516196,0.0236138997138413,0.00561392200250944,0.00561392200250944,1,499.200073242188,199.200060732362,199.200055234435,1.2000000285339465,4.444444444444445,1.0545324423988305
